crop id,Province,District,id,deviceTimestamp,alt,direction,accuracy,notice,Interviewer's comments,Irrigated/Rainfed,Method of irrigation,Acres of Land Owned,Acres of Land Rented,Main Fertilizer,Number of main crops ,Crop,"Yield, maund",Area for yield,Area Unit,Crop harvesting method,Residue use: animal fodder  (%),Residue use: domestic burning (%),Residue use: sold to industry (%),Residue use: sold to biomass supplier (%),Residue use: fertilizer in the field (%),Residue use: left in field for burning (%),Unit price of Residue (Rs/ton),Residue sold to industry,Willingness to bale the biomass to be sold,Need for a private service provider for the bailing,"Agreement for a cooperative harvesting, baling and transporting arrangement",Need for a bargaining agent,Currently growing crop,Last crop,Second Last Crop,Location 1
1,Sindh,Khairpur,51578,09/22/2015 06:14:50 PM,0.1,0,12,"
", ,irrigated,both,20,0,Chemical,1,Cotton,35,1,acre,manual,10%,20%,0%,0%,0%,70%,0,None,Yes,No,Yes,No,Cotton,Wheat,Cotton,"(27.041222130308, 68.974858653445395)"
1,Punjab,Bahawalpur,15221,04/28/2015 07:01:35 AM,114.9,188,2.1,"
", ,irrigated,both,20,0,Chemical,2,Wheat,40,1,acre,both,80%,20%,0%,0%,0%,0%,5200,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.0745, 71.757431666666704)"
2,Punjab,Bahawalpur,15279,04/29/2015 06:20:28 AM,110.3,198,2.7,0,0,irrigated,both,12,0,Chemical,,Wheat,40,1,acre,manual,80%,20%,0%,0%,0%,0%,5200,None,No,No,Yes,No,Wheat,Cotton,Wheat,"(29.364954999999998, 71.643201666666698)"
1,Punjab,Sialkot,26051,05/26/2015 11:20:57 AM,206,0,3,banana, ,irrigated,tube well,6,0,Chemical,1,Wheat,20,1,acre,machinery,100%,0%,0%,0%,0%,0%,0,None,No,No,No,No,Wheat,Rice,Wheat,"(32.586412340000003, 74.51223143)"
2,Punjab,Bahawalnagar,16143,04/30/2015 10:16:57 AM,163.4,174,1.2,0,0,irrigated,canal water,6,0,Chemical,,Wheat,32,1,acre,manual,100%,0%,0%,0%,0%,0%,0,None,No,No,No,No,Cotton,Wheat,Cotton,"(29.217700000000001, 72.876733333333306)"
1,Punjab,Bahawalpur,15539,04/29/2015 10:14:26 AM,96,41,2,0,0,irrigated,tube well,8,0,Chemical,1,Cotton,28,1,acre,manual,0%,90%,0%,0%,0%,10%,3500,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.305928333333298, 71.033373333333302)"
2,Punjab,Chiniot,19744,05/06/2015 03:37:38 PM,140.6,0,3,no,done,irrigated,tube well,12,0,Chemical,,Maize,110,1,acre,manual,50%,0%,0%,0%,50%,0%,27500,None,No,No,No,No,Wheat,Rice,Wheat,"(31.76640033, 72.929906250000002)"
1,Punjab,Rahim Yar Khan,16762,05/02/2015 10:18:27 AM,40,231,3,0,0,irrigated,canal water,8,8,Chemical,1,Wheat,42,1,acre,manual,40%,0%,0%,0%,0%,60%,3800,None,No,No,No,No,Wheat,Cotton,Wheat,"(28.35313219, 70.32083566)"
2,Punjab,Vehari,24990,05/23/2015 01:37:07 PM,138.1,206,3,done, ,irrigated,both,70,0,Chemical,,Cotton,25,1,acre,manual,20%,80%,0%,0%,0%,0%,0,None,Yes,Yes,Yes,Yes,Maize,Cotton,Maize,"(29.977108333333302, 72.453734999999995)"
1,Punjab,Bahawalnagar,15721,04/29/2015 06:22:57 PM,126.5,0,5,notice,Interviewer's comments,irrigated,canal water,20,18,Chemical,2,Wheat,35,1,acre,manual,15%,0%,35%,0%,0%,50%,300,Brick kiln,Yes,No,No,Yes,Wheat,Cotton,Wheat,"(29.749947049999999, 73.299275480000006)"
2,Punjab,Bahawalnagar,15721,04/29/2015 06:22:57 PM,126.5,0,5,notice,Interviewer's comments,irrigated,canal water,20,18,Chemical,,Cotton,30,1,acre,manual,0%,15%,0%,0%,35%,50%,0,Brick kiln,Yes,No,No,Yes,Wheat,Cotton,Wheat,"(29.749947049999999, 73.299275480000006)"
1,Punjab,Bahawalnagar,15720,04/29/2015 06:20:59 PM,122.4,142,5,notice,Interviewer's comments,irrigated,canal water,30,0,Chemical,2,Cotton,25,1,acre,manual,0%,30%,0%,0%,40%,30%,0,None,Yes,No,No,Yes,Wheat,Cotton,Wheat,"(29.74570829, 73.29791367)"
2,Punjab,Bahawalnagar,15720,04/29/2015 06:20:59 PM,122.4,142,5,notice,Interviewer's comments,irrigated,canal water,30,0,Chemical,,Wheat,20,1,acre,machinery,0%,10%,0%,0%,0%,90%,0,None,Yes,No,No,Yes,Wheat,Cotton,Wheat,"(29.74570829, 73.29791367)"
1,Punjab,Bahawalnagar,15718,04/29/2015 06:20:31 PM,122.1,0,5,notice,Interviewer's comments,irrigated,canal water,14,0,Chemical,2,Wheat,35,1,acre,manual,50%,0%,50%,0%,0%,0%,350,Brick kiln,Yes,No,Yes,Yes,Wheat,Cotton,Wheat,"(29.753531450000001, 73.241474330000003)"
2,Punjab,Bahawalnagar,15718,04/29/2015 06:20:31 PM,122.1,0,5,notice,Interviewer's comments,irrigated,canal water,14,0,Chemical,,Cotton,24,1,acre,manual,0%,100%,0%,0%,0%,0%,0,Brick kiln,Yes,No,Yes,Yes,Wheat,Cotton,Wheat,"(29.753531450000001, 73.241474330000003)"
1,Punjab,Bahawalnagar,15717,04/29/2015 06:20:18 PM,129.69999999999999,0,5,notice,Interviewer's comments,irrigated,both,8,0,Chemical,2,Cotton,31,1,acre,manual,0%,50%,0%,0%,30%,20%,0,None,Yes,No,No,Yes,Wheat,Cotton,Wheat,"(29.78576996, 73.247894270000003)"
2,Punjab,Bahawalnagar,15717,04/29/2015 06:20:18 PM,129.69999999999999,0,5,notice,Interviewer's comments,irrigated,both,8,0,Chemical,,Wheat,42,1,acre,manual,30%,0%,60%,0%,0%,10%,300,None,Yes,No,No,Yes,Wheat,Cotton,Wheat,"(29.78576996, 73.247894270000003)"
1,Punjab,Bahawalnagar,15716,04/29/2015 06:20:08 PM,133.9,0,5,notice,Interviewer's comments,irrigated,both,9,0,Chemical,2,Cotton,32,1,acre,manual,0%,50%,0%,0%,0%,50%,0,None,No,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.79398252, 73.253469199999998)"
2,Punjab,Bahawalnagar,15716,04/29/2015 06:20:08 PM,133.9,0,5,notice,Interviewer's comments,irrigated,both,9,0,Chemical,,Wheat,36,1,acre,machinery,50%,0%,50%,0%,0%,0%,300,None,No,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.79398252, 73.253469199999998)"
1,Punjab,Bahawalnagar,15715,04/29/2015 06:19:56 PM,122.8,0,5,notice,Interviewer's comments,irrigated,canal water,11,0,Chemical,2,Wheat,35,1,acre,manual,40%,0%,0%,0%,55%,5%,0,None,Yes,Yes,No,Yes,Wheat,Cotton,Wheat,"(29.825359670000001, 73.252039830000001)"
2,Punjab,Bahawalnagar,15715,04/29/2015 06:19:56 PM,122.8,0,5,notice,Interviewer's comments,irrigated,canal water,11,0,Chemical,,Cotton,19,1,acre,manual,40%,50%,0%,0%,10%,0%,0,None,Yes,Yes,No,Yes,Wheat,Cotton,Wheat,"(29.825359670000001, 73.252039830000001)"
1,Punjab,Bahawalnagar,15714,04/29/2015 06:17:56 PM,143.69999999999999,98,5,notice,Interviewer's comments,irrigated,both,8,0,Chemical,2,Wheat,29,1,acre,manual,70%,0%,30%,0%,0%,0%,275,Brick kiln,Yes,Yes,No,Yes,Wheat,Cotton,Wheat,"(29.85734291, 73.252069640000002)"
2,Punjab,Bahawalnagar,15714,04/29/2015 06:17:56 PM,143.69999999999999,98,5,notice,Interviewer's comments,irrigated,both,8,0,Chemical,,Cotton,24,1,acre,manual,0%,60%,0%,0%,30%,10%,0,Brick kiln,Yes,Yes,No,Yes,Wheat,Cotton,Wheat,"(29.85734291, 73.252069640000002)"
1,Punjab,Bahawalnagar,15710,04/29/2015 06:17:33 PM,144.6,0,5,notice,Interviewer's comments,irrigated,canal water,8,0,Chemical,2,Cotton,28,1,acre,manual,25%,50%,0%,0%,15%,10%,0,None,Yes,Yes,No,Yes,Wheat,Cotton,Wheat,"(29.859354329999999, 73.252020880000003)"
2,Punjab,Bahawalnagar,15710,04/29/2015 06:17:33 PM,144.6,0,5,notice,Interviewer's comments,irrigated,canal water,8,0,Chemical,,Wheat,42,1,acre,manual,40%,0%,60%,0%,0%,0%,150,None,Yes,Yes,No,Yes,Wheat,Cotton,Wheat,"(29.859354329999999, 73.252020880000003)"
1,Punjab,Bahawalnagar,15708,04/29/2015 06:17:17 PM,133.4,0,5,notice,Interviewer's comments,irrigated,both,7,0,Chemical,2,Cotton,28,1,acre,manual,0%,70%,0%,0%,30%,0%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.86242365, 73.252006870000002)"
2,Punjab,Bahawalnagar,15708,04/29/2015 06:17:17 PM,133.4,0,5,notice,Interviewer's comments,irrigated,both,7,0,Chemical,,Wheat,30,1,acre,manual,80%,20%,0%,0%,0%,0%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.86242365, 73.252006870000002)"
1,Punjab,Bahawalnagar,15705,04/29/2015 06:16:35 PM,135.5,0,5,notice,Interviewer's comments,irrigated,both,50,0,Chemical,2,Wheat,33,1,acre,manual,50%,0%,50%,0%,0%,0%,150,Paper mill,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.872016769999998, 73.252053989999993)"
2,Punjab,Bahawalnagar,15705,04/29/2015 06:16:35 PM,135.5,0,5,notice,Interviewer's comments,irrigated,both,50,0,Chemical,,Cotton,22,1,acre,manual,0%,20%,0%,0%,70%,10%,0,Paper mill,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.872016769999998, 73.252053989999993)"
1,Punjab,Bahawalnagar,15703,04/29/2015 06:14:09 PM,126.3,0,5,notice,Interviewer's comments,irrigated,tube well,8,0,Chemical,2,Cotton,17,1,acre,manual,0%,80%,0%,0%,20%,0%,0,None,Yes,No,No,Yes,Wheat,Cotton,Wheat,"(29.8737581, 73.252389480000005)"
2,Punjab,Bahawalnagar,15703,04/29/2015 06:14:09 PM,126.3,0,5,notice,Interviewer's comments,irrigated,tube well,8,0,Chemical,,Wheat,34,1,acre,manual,90%,0%,0%,0%,0%,10%,0,None,Yes,No,No,Yes,Wheat,Cotton,Wheat,"(29.8737581, 73.252389480000005)"
1,Punjab,Bahawalnagar,15702,04/29/2015 06:13:54 PM,114.9,0,5,notice,Interviewer's comments,irrigated,tube well,8,0,Chemical,2,Cotton,19,1,acre,manual,30%,60%,0%,0%,0%,10%,0,None,No,No,No,Yes,Wheat,Cotton,Wheat,"(29.94372212, 73.253098159999993)"
2,Punjab,Bahawalnagar,15702,04/29/2015 06:13:54 PM,114.9,0,5,notice,Interviewer's comments,irrigated,tube well,8,0,Chemical,,Wheat,29,1,acre,manual,70%,0%,30%,0%,0%,0%,200,None,No,No,No,Yes,Wheat,Cotton,Wheat,"(29.94372212, 73.253098159999993)"
1,Punjab,Bahawalnagar,15701,04/29/2015 06:13:34 PM,113.5,0,5,notice,Interviewer's comments,irrigated,both,8,0,Chemical,2,Wheat,29,1,acre,manual,80%,0%,20%,0%,0%,0%,250,Paper mill,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.96402707, 73.246507789999995)"
2,Punjab,Bahawalnagar,15701,04/29/2015 06:13:34 PM,113.5,0,5,notice,Interviewer's comments,irrigated,both,8,0,Chemical,,Cotton,22,1,acre,manual,20%,60%,0%,0%,20%,0%,0,Paper mill,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.96402707, 73.246507789999995)"
1,Punjab,Bahawalnagar,15699,04/29/2015 06:12:56 PM,114.4,0,5,notice,Interviewer's comments,irrigated,both,20,0,Chemical,2,Wheat,35,1,acre,manual,60%,10%,30%,0%,0%,0%,250,Paper mill,Yes,No,No,Yes,Wheat,Cotton,Wheat,"(29.963211680000001, 73.250002940000002)"
2,Punjab,Bahawalnagar,15699,04/29/2015 06:12:56 PM,114.4,0,5,notice,Interviewer's comments,irrigated,both,20,0,Chemical,,Cotton,25,1,acre,manual,20%,60%,0%,0%,20%,0%,0,Paper mill,Yes,No,No,Yes,Wheat,Cotton,Wheat,"(29.963211680000001, 73.250002940000002)"
1,Punjab,Bahawalnagar,15686,04/29/2015 03:31:38 PM,162.6,80,2.7,notice,Interviewer's comments,irrigated,both,7,0,Chemical,2,Cotton,19,1,acre,manual,50%,50%,0%,0%,0%,0%,0,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.744576666666699, 73.303336666666695)"
2,Punjab,Bahawalnagar,15686,04/29/2015 03:31:38 PM,162.6,80,2.7,notice,Interviewer's comments,irrigated,both,7,0,Chemical,,Wheat,29,1,acre,machinery,100%,0%,0%,0%,0%,0%,5000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.744576666666699, 73.303336666666695)"
1,Punjab,Bahawalnagar,15684,04/29/2015 03:30:13 PM,155.6,18,1.8,notice,Interviewer's comments,irrigated,both,6,0,Chemical,2,Cotton,20,1,acre,manual,50%,50%,0%,0%,0%,0%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.7477466666667, 73.299628333333303)"
2,Punjab,Bahawalnagar,15684,04/29/2015 03:30:13 PM,155.6,18,1.8,notice,Interviewer's comments,irrigated,both,6,0,Chemical,,Wheat,40,1,acre,machinery,70%,0%,0%,0%,0%,30%,4500,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.7477466666667, 73.299628333333303)"
1,Punjab,Bahawalnagar,15667,04/29/2015 01:07:24 PM,164.5,228,3.1,notice,Interviewer's comments,irrigated,canal water,3,0,Chemical,2,Wheat,30,1,acre,manual,100%,0%,0%,0%,0%,0%,4000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.749933333333299, 73.292276666666694)"
2,Punjab,Bahawalnagar,15667,04/29/2015 01:07:24 PM,164.5,228,3.1,notice,Interviewer's comments,irrigated,canal water,3,0,Chemical,,Cotton,25,1,acre,manual,0%,100%,0%,0%,0%,0%,3000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.749933333333299, 73.292276666666694)"
1,Punjab,Bahawalnagar,15666,04/29/2015 01:06:58 PM,162.4,342,3,notice,Interviewer's comments,irrigated,both,12,3,Chemical,2,Wheat,33,1,acre,both,100%,0%,0%,0%,0%,0%,4000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.750056666666701, 73.292316666666693)"
2,Punjab,Bahawalnagar,15666,04/29/2015 01:06:58 PM,162.4,342,3,notice,Interviewer's comments,irrigated,both,12,3,Chemical,,Cotton,20,1,acre,manual,0%,100%,0%,0%,0%,0%,3500,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.750056666666701, 73.292316666666693)"
1,Punjab,Bahawalnagar,15665,04/29/2015 01:06:35 PM,162,245,3.9,notice,Interviewer's comments,irrigated,canal water,0,18,Chemical,2,Cotton,25,1,acre,manual,100%,0%,0%,0%,0%,0%,4000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.873464999999999, 73.255238333333295)"
2,Punjab,Bahawalnagar,15665,04/29/2015 01:06:35 PM,162,245,3.9,notice,Interviewer's comments,irrigated,canal water,0,18,Chemical,,Wheat,67,1,acre,both,100%,0%,0%,0%,0%,0%,5000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.873464999999999, 73.255238333333295)"
1,Punjab,Bahawalnagar,15663,04/29/2015 01:05:54 PM,163.1,269,3.9,notice,Interviewer's comments,irrigated,both,2,24,Chemical,2,Cotton,19,1,acre,manual,0%,50%,0%,0%,50%,0%,3500,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.875046666666702, 73.271106666666697)"
2,Punjab,Bahawalnagar,15663,04/29/2015 01:05:54 PM,163.1,269,3.9,notice,Interviewer's comments,irrigated,both,2,24,Chemical,,Wheat,35,1,acre,both,100%,0%,0%,0%,0%,0%,5000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.875046666666702, 73.271106666666697)"
1,Punjab,Bahawalnagar,15662,04/29/2015 01:05:43 PM,157.80000000000001,257,3.6,notice,Interviewer's comments,irrigated,both,12,28,Chemical,2,Wheat,38,1,acre,both,80%,0%,20%,0%,0%,0%,5000,Brick kiln,No,No,No,No,Wheat,Cotton,Wheat,"(29.875965000000001, 73.283091666666706)"
2,Punjab,Bahawalnagar,15662,04/29/2015 01:05:43 PM,157.80000000000001,257,3.6,notice,Interviewer's comments,irrigated,both,12,28,Chemical,,Cotton,20,1,acre,manual,0%,60%,0%,0%,40%,0%,3000,Brick kiln,No,No,No,No,Wheat,Cotton,Wheat,"(29.875965000000001, 73.283091666666706)"
1,Punjab,Bahawalnagar,15660,04/29/2015 01:03:59 PM,173,312,4.1,notice,Interviewer's comments,irrigated,both,30,0,Chemical,2,Cotton,20,1,acre,manual,0%,100%,0%,0%,0%,0%,2500,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.875668333333302, 73.282283333333297)"
2,Punjab,Bahawalnagar,15660,04/29/2015 01:03:59 PM,173,312,4.1,notice,Interviewer's comments,irrigated,both,30,0,Chemical,,Wheat,33,1,acre,both,100%,0%,0%,0%,0%,0%,3800,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.875668333333302, 73.282283333333297)"
1,Punjab,Bahawalnagar,15658,04/29/2015 01:03:06 PM,163.5,188,3.5,notice,Interviewer's comments,irrigated,both,4,10,Chemical,2,Cotton,21,1,acre,both,0%,100%,0%,0%,0%,0%,3000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.875681666666701, 73.282656666666696)"
2,Punjab,Bahawalnagar,15658,04/29/2015 01:03:06 PM,163.5,188,3.5,notice,Interviewer's comments,irrigated,both,4,10,Chemical,,Wheat,33,1,acre,both,100%,0%,0%,0%,0%,0%,5000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.875681666666701, 73.282656666666696)"
1,Punjab,Bahawalnagar,15657,04/29/2015 01:02:53 PM,160.9,346,3.7,notice,Interviewer's comments,irrigated,canal water,9,1,Chemical,2,Cotton,20,1,acre,manual,0%,100%,0%,0%,0%,0%,3000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.876348333333301, 73.282871666666693)"
2,Punjab,Bahawalnagar,15657,04/29/2015 01:02:53 PM,160.9,346,3.7,notice,Interviewer's comments,irrigated,canal water,9,1,Chemical,,Wheat,35,1,acre,manual,100%,0%,0%,0%,0%,0%,4000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.876348333333301, 73.282871666666693)"
1,Punjab,Bahawalnagar,15656,04/29/2015 01:02:13 PM,166.4,4,3.6,notice,Interviewer's comments,irrigated,canal water,6,6,Chemical,2,Cotton,21,1,acre,both,20%,80%,0%,0%,0%,0%,3500,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.87499, 73.273243333333298)"
2,Punjab,Bahawalnagar,15656,04/29/2015 01:02:13 PM,166.4,4,3.6,notice,Interviewer's comments,irrigated,canal water,6,6,Chemical,,Wheat,27,1,acre,both,100%,0%,0%,0%,0%,0%,5000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.87499, 73.273243333333298)"
1,Punjab,Bahawalnagar,15655,04/29/2015 01:01:35 PM,168.3,173,4.2,notice,Interviewer's comments,irrigated,both,10,0,Chemical,2,Wheat,25,1,acre,both,100%,0%,0%,0%,0%,0%,4000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.874938333333301, 73.273393333333303)"
2,Punjab,Bahawalnagar,15655,04/29/2015 01:01:35 PM,168.3,173,4.2,notice,Interviewer's comments,irrigated,both,10,0,Chemical,,Cotton,20,1,acre,both,0%,100%,0%,0%,0%,0%,3000,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.874938333333301, 73.273393333333303)"
1,Punjab,Bahawalnagar,15628,04/29/2015 12:15:49 PM,164.6,93,0.8,notice,Interviewer's comments,irrigated,canal water,26,0,Chemical,2,Wheat,30,1,acre,machinery,0%,0%,0%,0%,0%,100%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.751275, 73.299298333333297)"
2,Punjab,Bahawalnagar,15628,04/29/2015 12:15:49 PM,164.6,93,0.8,notice,Interviewer's comments,irrigated,canal water,26,0,Chemical,,Cotton,24,1,acre,manual,0%,50%,0%,0%,50%,0%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.751275, 73.299298333333297)"
1,Punjab,Bahawalnagar,15627,04/29/2015 12:10:05 PM,156,65,1.4,notice,Interviewer's comments,irrigated,canal water,12,0,Chemical,2,Cotton,30,1,acre,manual,0%,50%,0%,0%,50%,0%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.7480366666667, 73.299193333333307)"
2,Punjab,Bahawalnagar,15627,04/29/2015 12:10:05 PM,156,65,1.4,notice,Interviewer's comments,irrigated,canal water,12,0,Chemical,,Wheat,30,1,acre,machinery,50%,0%,0%,0%,50%,0%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.7480366666667, 73.299193333333307)"
1,Punjab,Bahawalnagar,15626,04/29/2015 12:05:16 PM,151.6,278,2.2,notice,Interviewer's comments,irrigated,both,13,0,Chemical,2,Wheat,35,1,acre,both,0%,0%,0%,0%,0%,100%,0,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.750543333333301, 73.299746666666707)"
2,Punjab,Bahawalnagar,15626,04/29/2015 12:05:16 PM,151.6,278,2.2,notice,Interviewer's comments,irrigated,both,13,0,Chemical,,Cotton,27,1,acre,manual,0%,100%,0%,0%,0%,0%,0,None,No,No,No,No,Wheat,Cotton,Wheat,"(29.750543333333301, 73.299746666666707)"
1,Punjab,Bahawalnagar,15611,04/29/2015 11:54:47 AM,147.1,235,1.6,notice,Interviewer's comments,irrigated,canal water,28,0,Chemical,2,Wheat,30,1,acre,machinery,50%,0%,0%,0%,0%,50%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.744980000000002, 73.296421666666703)"
2,Punjab,Bahawalnagar,15611,04/29/2015 11:54:47 AM,147.1,235,1.6,notice,Interviewer's comments,irrigated,canal water,28,0,Chemical,,Cotton,20,1,acre,manual,0%,50%,0%,0%,50%,0%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.744980000000002, 73.296421666666703)"
1,Punjab,Bahawalnagar,15609,04/29/2015 11:48:01 AM,151.19999999999999,112,1.6,notice,Interviewer's comments,irrigated,canal water,45,0,Chemical,2,Cotton,20,1,acre,manual,0%,50%,0%,0%,0%,50%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.7455933333333, 73.296423333333294)"
2,Punjab,Bahawalnagar,15609,04/29/2015 11:48:01 AM,151.19999999999999,112,1.6,notice,Interviewer's comments,irrigated,canal water,45,0,Chemical,,Wheat,40,1,acre,machinery,50%,0%,0%,0%,0%,50%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.7455933333333, 73.296423333333294)"
1,Punjab,Bahawalnagar,15607,04/29/2015 11:34:35 AM,156.4,0,1.3,notice,Interviewer's comments,irrigated,canal water,10,0,Chemical,2,Cotton,25,1,acre,manual,0%,50%,0%,0%,50%,0%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.747756666666699, 73.295755)"
2,Punjab,Bahawalnagar,15607,04/29/2015 11:34:35 AM,156.4,0,1.3,notice,Interviewer's comments,irrigated,canal water,10,0,Chemical,,Wheat,30,1,acre,machinery,50%,0%,0%,0%,0%,50%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Wheat,"(29.747756666666699, 73.295755)"
1,Punjab,Bahawalnagar,15587,04/29/2015 11:13:37 AM,157,0,2.3,notice,Interviewer's comments,irrigated,canal water,35,0,Chemical,2,Wheat,30,1,acre,machinery,50%,0%,0%,0%,0%,50%,0,None,Yes,Yes,Yes,Yes,Wheat,Cotton,Cotton,"(29.753550000000001, 73.241538333333295)"
